COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
01,0010,050,ELA,Did Not Yet Meet,3,1,2
01,0010,050,ELA,Partially Met,2,4,5
01,0010,050,ELA,Approached,12,4,8
01,0010,050,ELA,Met,15,12,21
01,0010,050,ELA,Exceeded,3,5,4
01,0010,050,Math,Did Not Yet Meet,3,3,1
01,0010,050,Math,Partially Met,6,6,4
01,0010,050,Math,Approached,16,16,11
01,0010,050,Math,Met,9,12,12
01,0010,050,Math,Exceeded,0,1,1
01,0010,060,ELA,Did Not Yet Meet,2,5,8
01,0010,060,ELA,Partially Met,7,7,3
01,0010,060,ELA,Approached,8,3,8
01,0010,060,ELA,Met,31,10,5
01,0010,060,ELA,Exceeded,2,0,0
01,0010,060,Math,Did Not Yet Meet,0,2,2
01,0010,060,Math,Partially Met,7,8,5
01,0010,060,Math,Approached,8,12,15
01,0010,060,Math,Met,14,10,14
01,0010,060,Math,Exceeded,3,0,0
01,0110,030,ELA,Did Not Yet Meet,3,6,5
01,0110,030,ELA,Partially Met,4,8,10
01,0110,030,ELA,Approached,8,11,14
01,0110,030,ELA,Met,6,10,12
01,0110,030,ELA,Exceeded,2,1,1
01,0110,030,Math,Did Not Yet Meet,2,3,4
01,0110,030,Math,Partially Met,10,7,10
01,0110,030,Math,Approached,7,12,19
01,0110,030,Math,Met,7,6,11
01,0110,030,Math,Exceeded,2,0,1
01,0110,050,ELA,Did Not Yet Meet,0,1,2
01,0110,050,ELA,Partially Met,2,4,12
01,0110,050,ELA,Approached,6,9,17
01,0110,050,ELA,Met,9,11,20
01,0110,050,ELA,Exceeded,2,2,2
01,0110,050,Math,Did Not Yet Meet,0,0,3
01,0110,050,Math,Partially Met,8,8,14
01,0110,050,Math,Approached,11,9,16
01,0110,050,Math,Met,12,9,9
01,0110,050,Math,Exceeded,1,1,1
01,0110,060,ELA,Did Not Yet Meet,5,4,5
01,0110,060,ELA,Partially Met,8,8,15
01,0110,060,ELA,Approached,7,7,16
01,0110,060,ELA,Met,7,7,9
01,0110,060,ELA,Exceeded,0,2,0
01,0110,060,Math,Did Not Yet Meet,4,4,5
01,0110,060,Math,Partially Met,9,9,14
01,0110,060,Math,Approached,13,8,13
01,0110,060,Math,Met,9,6,7
01,0110,060,Math,Exceeded,2,1,0
01,0110,070,ELA,Did Not Yet Meet,11,9,10
01,0110,070,ELA,Partially Met,16,10,7
01,0110,070,ELA,Approached,14,8,5
01,0110,070,ELA,Met,5,4,2
01,0110,070,Math,Did Not Yet Meet,12,5,12
01,0110,070,Math,Partially Met,18,12,10
01,0110,070,Math,Approached,12,4,9
01,0110,070,Math,Met,4,0,1
01,0110,080,ELA,Did Not Yet Meet,9,9,5
01,0110,080,ELA,Partially Met,10,9,10
01,0110,080,ELA,Approached,14,11,6
01,0110,080,ELA,Met,5,7,5
01,0110,080,Math,Did Not Yet Meet,6,6,4
01,0110,080,Math,Partially Met,17,8,7
01,0110,080,Math,Approached,22,8,4
01,0110,080,Math,Met,10,5,2
01,0110,080,Math,Exceeded,1,1,0
01,0110,100,ELA,Did Not Yet Meet,8,8,8
01,0110,100,ELA,Partially Met,7,8,18
01,0110,100,ELA,Approached,7,11,9
01,0110,100,ELA,Met,5,5,4
01,0110,100,ELA,Exceeded,1,0,0
01,0110,100,Math,Did Not Yet Meet,11,5,6
01,0110,100,Math,Partially Met,17,13,11
01,0110,100,Math,Approached,15,8,5
01,0110,100,Math,Met,2,2,4
01,0110,100,Math,Exceeded,1,1,0
01,0110,120,ELA,Did Not Yet Meet,2,3,6
01,0110,120,ELA,Partially Met,5,5,9
01,0110,120,ELA,Approached,8,13,16
01,0110,120,ELA,Met,7,12,10
01,0110,120,ELA,Exceeded,1,3,2
01,0110,120,Math,Did Not Yet Meet,2,2,2
01,0110,120,Math,Partially Met,13,7,13
01,0110,120,Math,Approached,8,7,13
01,0110,120,Math,Met,6,7,15
01,0110,120,Math,Exceeded,2,1,1
01,0110,140,ELA,Did Not Yet Meet,9,4,6
01,0110,140,ELA,Partially Met,14,9,4
01,0110,140,ELA,Approached,17,6,6
01,0110,140,ELA,Met,11,6,6
01,0110,140,ELA,Exceeded,0,0,0
01,0110,140,Math,Did Not Yet Meet,7,5,6
01,0110,140,Math,Partially Met,14,9,12
01,0110,140,Math,Approached,15,7,11
01,0110,140,Math,Met,7,4,2
01,0110,140,Math,Exceeded,1,0,0
01,0110,300,ELA,Did Not Yet Meet,4,6,6
01,0110,300,ELA,Partially Met,3,10,9
01,0110,300,ELA,Approached,6,16,7
01,0110,300,ELA,Met,10,14,6
01,0110,300,ELA,Exceeded,1,1,0
01,0110,300,Math,Did Not Yet Meet,1,1,1
01,0110,300,Math,Partially Met,14,6,7
01,0110,300,Math,Approached,17,7,7
01,0110,300,Math,Met,22,6,6
01,0110,300,Math,Exceeded,0,3,0
01,0570,010,ELA,Did Not Yet Meet,8,4,2
01,0570,010,ELA,Partially Met,11,13,8
01,0570,010,ELA,Approached,8,9,9
01,0570,010,ELA,Met,9,11,6
01,0570,010,ELA,Exceeded,2,0,0
01,0570,010,Math,Did Not Yet Meet,4,0,4
01,0570,010,Math,Partially Met,6,2,9
01,0570,010,Math,Approached,23,9,2
01,0570,010,Math,Met,25,8,6
01,0570,010,Math,Exceeded,0,4,0
01,0570,030,ELA,Did Not Yet Meet,3,2,5
01,0570,030,ELA,Partially Met,6,5,5
01,0570,030,ELA,Approached,10,12,9
01,0570,030,ELA,Met,16,13,12
01,0570,030,ELA,Exceeded,1,2,1
01,0570,030,Math,Did Not Yet Meet,6,3,3
01,0570,030,Math,Partially Met,6,6,14
01,0570,030,Math,Approached,15,11,14
01,0570,030,Math,Met,9,3,9
01,0590,030,ELA,Did Not Yet Meet,3,7,10
01,0590,030,ELA,Partially Met,6,5,13
01,0590,030,ELA,Approached,6,10,10
01,0590,030,ELA,Met,5,8,15
01,0590,030,ELA,Exceeded,1,1,2
01,0590,030,Math,Did Not Yet Meet,0,2,2
01,0590,030,Math,Partially Met,6,7,10
01,0590,030,Math,Approached,6,9,17
01,0590,030,Math,Met,6,12,17
01,0590,030,Math,Exceeded,1,2,0
01,0590,300,ELA,Did Not Yet Meet,9,7,4
01,0590,300,ELA,Partially Met,11,9,2
01,0590,300,ELA,Approached,19,12,6
01,0590,300,ELA,Met,11,6,4
01,0590,300,ELA,Exceeded,1,0,0
01,0590,300,Math,Did Not Yet Meet,3,2,5
01,0590,300,Math,Partially Met,17,9,2
01,0590,300,Math,Approached,32,8,1
01,0590,300,Math,Met,15,5,0
