GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Geographic Area,Geographic Area,Dollar,Margin of Error
New York,New York,60741,209
New York - Albany County,Albany County,60904,963
New York - Allegany County,Allegany County,44085,1080
New York - Bronx County,Bronx County,35302,422
New York - Broome County,Broome County,47744,1080
New York - Cattaraugus County,Cattaraugus County,43884,1373
New York - Cayuga County,Cayuga County,53114,1178
New York - Chautauqua County,Chautauqua County,43211,1023
New York - Chemung County,Chemung County,49578,1657
New York - Chenango County,Chenango County,46979,1521
New York - Clinton County,Clinton County,50502,1858
New York - Columbia County,Columbia County,59916,2708
New York - Cortland County,Cortland County,50910,1761
New York - Delaware County,Delaware County,46055,2281
New York - Dutchess County,Dutchess County,72706,1431
New York - Erie County,Erie County,52744,482
New York - Essex County,Essex County,53244,2206
New York - Franklin County,Franklin County,49782,1942
New York - Fulton County,Fulton County,46090,1878
New York - Genesee County,Genesee County,52641,1500
New York - Greene County,Greene County,51013,2192
New York - Hamilton County,Hamilton County,52708,6173
New York - Herkimer County,Herkimer County,48893,1554
New York - Jefferson County,Jefferson County,49911,1403
New York - Kings County,Kings County,50640,322
New York - Lewis County,Lewis County,49976,2172
New York - Livingston County,Livingston County,52724,1944
New York - Madison County,Madison County,55858,1615
New York - Monroe County,Monroe County,53568,591
New York - Montgomery County,Montgomery County,44455,2039
New York - Nassau County,Nassau County,102044,830
New York - New York County,New York County,75513,1030
New York - Niagara County,Niagara County,50094,1411
New York - Oneida County,Oneida County,49838,1220
New York - Onondaga County,Onondaga County,55717,757
New York - Ontario County,Ontario County,58070,1726
New York - Orange County,Orange County,71910,1511
New York - Orleans County,Orleans County,48731,2473
New York - Oswego County,Oswego County,49571,1382
New York - Otsego County,Otsego County,49689,1861
New York - Putnam County,Putnam County,97606,2603
New York - Queens County,Queens County,59758,546
New York - Rensselaer County,Rensselaer County,61754,1358
New York - Richmond County,Richmond County,74021,1264
New York - Rockland County,Rockland County,86134,1779
New York - St. Lawrence County,St. Lawrence County,46313,1536
New York - Saratoga County,Saratoga County,74080,1377
New York - Schenectady County,Schenectady County,59959,1471
New York - Schoharie County,Schoharie County,50607,1961
New York - Schuyler County,Schuyler County,47229,3238
New York - Seneca County,Seneca County,50073,1833
New York - Steuben County,Steuben County,48823,1240
New York - Suffolk County,Suffolk County,90128,968
New York - Sullivan County,Sullivan County,52027,1999
New York - Tioga County,Tioga County,58115,2088
New York - Tompkins County,Tompkins County,54133,1892
New York - Ulster County,Ulster County,60393,1330
New York - Warren County,Warren County,57174,2214
New York - Washington County,Washington County,51449,1508
New York - Wayne County,Wayne County,51627,1161
New York - Westchester County,Westchester County,86226,1356
New York - Wyoming County,Wyoming County,53612,2212
New York - Yates County,Yates County,50105,3116
