GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Geographic Area,Geographic Area,Percent,Margin of Error
New York,New York,21.6,0.3
New York - Albany County,Albany County,15.6,1.8
New York - Allegany County,Allegany County,25.9,3.7
New York - Bronx County,Bronx County,42.6,0.9
New York - Broome County,Broome County,23.5,2.1
New York - Cattaraugus County,Cattaraugus County,25,2.9
New York - Cayuga County,Cayuga County,15.5,2.1
New York - Chautauqua County,Chautauqua County,30.1,2.6
New York - Chemung County,Chemung County,22.1,3.3
New York - Chenango County,Chenango County,20.7,3.5
New York - Clinton County,Clinton County,21.8,3.3
New York - Columbia County,Columbia County,17.6,2.9
New York - Cortland County,Cortland County,15,2.8
New York - Delaware County,Delaware County,27.6,5.5
New York - Dutchess County,Dutchess County,11.3,1.5
New York - Erie County,Erie County,21.8,1.1
New York - Essex County,Essex County,12.5,3.1
New York - Franklin County,Franklin County,26.8,4.1
New York - Fulton County,Fulton County,23.2,4.2
New York - Genesee County,Genesee County,19.2,3
New York - Greene County,Greene County,15,4
New York - Hamilton County,Hamilton County,12.2,5.1
New York - Herkimer County,Herkimer County,20.6,3.4
New York - Jefferson County,Jefferson County,20.8,2.3
New York - Kings County,Kings County,31.9,0.7
New York - Lewis County,Lewis County,21.1,4.8
New York - Livingston County,Livingston County,19,3.3
New York - Madison County,Madison County,15.9,3
New York - Monroe County,Monroe County,22.2,1
New York - Montgomery County,Montgomery County,32.4,4.8
New York - Nassau County,Nassau County,7.8,0.5
New York - New York County,New York County,23.4,1.2
New York - Niagara County,Niagara County,19.8,1.7
New York - Oneida County,Oneida County,26.4,1.9
New York - Onondaga County,Onondaga County,21.3,1.2
New York - Ontario County,Ontario County,13,2.1
New York - Orange County,Orange County,20,1.4
New York - Orleans County,Orleans County,22,4.1
New York - Oswego County,Oswego County,27.3,2.8
New York - Otsego County,Otsego County,17.5,2.6
New York - Putnam County,Putnam County,4.2,1.2
New York - Queens County,Queens County,19.6,0.6
New York - Rensselaer County,Rensselaer County,18.8,2.2
New York - Richmond County,Richmond County,17.4,1.4
New York - Rockland County,Rockland County,25.1,1.9
New York - St. Lawrence County,St. Lawrence County,26.6,3.7
New York - Saratoga County,Saratoga County,7.2,1.1
New York - Schenectady County,Schenectady County,19.4,2.7
New York - Schoharie County,Schoharie County,19.2,3.6
New York - Schuyler County,Schuyler County,18.3,3.9
New York - Seneca County,Seneca County,14.9,3.7
New York - Steuben County,Steuben County,22.1,2
New York - Suffolk County,Suffolk County,9.1,0.7
New York - Sullivan County,Sullivan County,24.6,3.8
New York - Tioga County,Tioga County,14.3,3.1
New York - Tompkins County,Tompkins County,15.5,2.8
New York - Ulster County,Ulster County,14,2.1
New York - Warren County,Warren County,15.5,3
New York - Washington County,Washington County,17.9,3.3
New York - Wayne County,Wayne County,16.3,2.6
New York - Westchester County,Westchester County,11.8,0.8
New York - Wyoming County,Wyoming County,16.6,3
New York - Yates County,Yates County,21.1,5.6
