County,State,graduation rate
Adams,PA,87
Allegheny,PA,93
Armstrong,PA,89
Beaver,PA,91
Berks,PA,85
Blair,PA,90
"Bucks	",PA,93
Butler,PA,93
Cambria,PA,90
Carbon,PA,89
Centre,PA,93
Chester,PA,93
Clearfield,PA,87
Columbia,PA,89
Crawford,PA,88
Cumberland,PA,91
Dauphin,PA,89
Delaware,PA,92
Erie,PA,91
Fayette,PA,87
Franklin,PA,86
Indiana,PA,89
Lackawanna,PA,90
Lancaster,PA,84
Lawrence,PA,89
Lebanon,PA,86
Lehigh,PA,88
Luzerne,PA,89
"Lycoming	",PA,88
Mercer,PA,89
Monroe,PA,89
Montgomery,PA,93
Northampton,PA,90
Northumberland,PA,85
Philadelphia,PA,82
Schuylkill,PA,87
Somerset,PA,87
Washington,PA,91
Westmoreland,PA,93
York,PA,89
