Location,Total households,Percent of total households,,,,,,,Average population per-,,Location
,,Family households,,,,Nonfamily households,,,,,
,,Total,With own children under 18 years,Type of family,,Total,Householder living alone,,Household,Family,
,,,,Married couple family,"Female householder, no husband present",,Total,65 years and over,,,
,,,,,,,,,,,
,,,,,,,,,,,
Adams Co.,"33,652",73.6,33.7,61.1,8.5,26.4,21.3,9.2,2.61,3.02,Adams Co.
Allegheny Co.,"537,150",61.9,26.4,46.1,12.4,38.1,32.7,13.2,2.31,2.96,Allegheny Co.
Armstrong Co.,"29,005",70.8,29.5,57.9,9,29.2,25.9,13.7,2.46,2.95,Armstrong Co.
Beaver Co.,"72,576",69.6,28.6,54.5,11.4,30.4,26.9,13.1,2.44,2.96,Beaver Co.
Bedford Co.,"19,768",73.3,30.7,61.7,7.7,26.7,23.5,11.5,2.5,2.95,Bedford Co.
Berks Co.,"141,570",69.6,31.7,55.5,9.9,30.4,24.6,10.7,2.55,3.05,Berks Co.
Blair Co.,"51,518",67.7,29.3,52.6,11.2,32.3,27.8,13.3,2.43,2.96,Blair Co.
Bradford Co.,"24,453",70.8,31.8,57.4,8.9,29.2,24.7,11.5,2.52,2.99,Bradford Co.
Bucks Co.,"218,725",73.6,35.3,61.2,8.8,26.4,21.5,8.1,2.69,3.17,Bucks Co.
Butler Co.,"65,862",71.1,32.9,59.8,8.1,28.9,24.2,10.4,2.55,3.04,Butler Co.
Cambria Co.,"60,531",67.1,27,52.8,10.4,32.9,29.8,15.6,2.38,2.96,Cambria Co.
Cameron Co.,"2,465",65.9,27.7,52.4,9.2,34.1,30.1,15.4,2.39,2.96,Cameron Co.
Carbon Co.,"23,701",69.3,28.7,54.8,9.9,30.7,26,13.5,2.44,2.93,Carbon Co.
Centre Co.,"49,323",57.8,25.5,48.9,6.1,42.2,26.6,7.6,2.45,2.95,Centre Co.
Chester Co.,"157,905",71.8,35.1,60.5,8.1,28.2,22.6,7.6,2.65,3.15,Chester Co.
Clarion Co.,"16,052",66.9,28.6,54.9,8.4,33.1,26,11.3,2.46,2.95,Clarion Co.
Clearfield Co.,"32,785",69.9,29.7,56.6,9.3,30.1,26.3,13.1,2.44,2.94,Clearfield Co.
Clinton Co.,"14,773",67.2,27.7,54,9.4,32.8,26.6,13.6,2.42,2.9,Clinton Co.
Columbia Co.,"24,915",66.5,27.7,53.8,8.7,33.5,26.6,11.8,2.42,2.9,Columbia Co.
Crawford Co.,"34,678",68.8,30.4,55.6,9.2,31.2,26.2,11.6,2.5,3.01,Crawford Co.
Cumberland Co.,"83,015",67.6,29.5,56.5,8,32.4,26.7,10.3,2.41,2.92,Cumberland Co.
Dauphin Co.,"102,670",64.4,29.7,47.6,12.9,35.6,30,10.3,2.39,2.98,Dauphin Co.
Delaware Co.,"206,320",67.6,31.5,50.8,12.9,32.4,27.6,11.6,2.56,3.17,Delaware Co.
Elk Co.,"14,124",69,31,56,8.7,31,27.3,13.6,2.45,2.99,Elk Co.
Erie Co.,"106,507",66.7,31.6,50.5,12.1,33.3,27.6,11.2,2.51,3.07,Erie Co.
Fayette Co.,"59,969",68.7,28.7,51.8,12.4,31.3,28,14.5,2.43,2.96,Fayette Co.
Forest Co.,"2,000",66.4,23.2,55.7,6.7,33.6,29.1,15.1,2.29,2.81,Forest Co.
Franklin Co.,"50,633",71.9,30.8,60,8.2,28.1,23.7,10.7,2.49,2.94,Franklin Co.
Fulton Co.,"5,660",72.4,31.7,59.5,8.2,27.6,24,10.6,2.5,2.95,Fulton Co.
Greene Co.,"15,060",70.3,30.6,55.4,10.9,29.7,25.7,12.7,2.48,2.97,Greene Co.
Huntingdon Co.,"16,759",70.4,30.1,58.1,8.3,29.6,25.8,12.3,2.44,2.92,Huntingdon Co.
Indiana Co.,"34,123",66,27.9,54.3,8.2,34,26.5,11.8,2.47,2.99,Indiana Co.
Jefferson Co.,"18,375",70,30.3,56.8,9.1,30,26.6,13.8,2.45,2.96,Jefferson Co.
Juniata Co.,"8,584",75.3,33,64.6,6.3,24.7,21.1,10.5,2.6,3.01,Juniata Co.
Lackawanna Co.,"86,218",64.7,27.2,48.9,11.8,35.3,31.3,15.7,2.38,3,Lackawanna Co.
Lancaster Co.,"172,560",71.9,33.7,59.9,8.6,28.1,23.1,9.3,2.64,3.14,Lancaster Co.
Lawrence Co.,"37,091",69.8,28.8,54.5,11.5,30.2,27,14.4,2.47,3,Lawrence Co.
Lebanon Co.,"46,551",70.4,30.4,57.4,9.2,29.6,25.2,11.1,2.49,2.98,Lebanon Co.
Lehigh Co.,"121,906",67.4,30.6,53,10.5,32.6,27.1,11.2,2.48,3.02,Lehigh Co.
Luzerne Co.,"130,687",64.5,26.5,48.8,11.5,35.5,31.3,16,2.34,2.95,Luzerne Co.
Lycoming Co.,"47,003",67.4,29.9,53.1,10.3,32.6,26.9,11.9,2.44,2.95,Lycoming Co.
McKean Co.,"18,024",67.1,30.5,52.5,10.1,32.9,28.3,13.3,2.4,2.93,McKean Co.
Mercer Co.,"46,712",69.3,29.3,54.8,10.9,30.7,27,13.2,2.44,2.96,Mercer Co.
Mifflin Co.,"18,413",70.1,30.2,57.6,8.5,29.9,26,13.2,2.49,2.99,Mifflin Co.
Monroe Co.,"49,454",73.7,36.2,60.7,8.8,26.3,20.2,7.8,2.73,3.16,Monroe Co.
Montgomery Co.,"286,098",69.1,32,57.2,8.8,30.9,25.6,9.9,2.54,3.09,Montgomery Co.
Montour Co.,"7,085",68,30,56.3,8.9,32,28,12,2.43,2.98,Montour Co.
Northampton Co.,"101,541",70,31.2,56.4,9.8,30,24.7,11.2,2.53,3.02,Northampton Co.
Northumberland Co.,"38,835",65.9,27.3,52.4,9.6,34.1,30.2,15.5,2.34,2.89,Northumberland Co.
Perry Co.,"16,695",73.8,33.2,61.6,7.8,26.2,21.7,9.3,2.58,3.01,Perry Co.
Philadelphia Co.,"590,071",59.7,27.6,32.1,22.3,40.3,33.8,11.9,2.48,3.22,Philadelphia Co.
Pike Co.,"17,433",74.7,34.4,63.5,7.6,25.3,20.7,8.4,2.63,3.06,Pike Co.
Potter Co.,"7,005",71.4,31.5,59.5,7.6,28.6,24.7,11.4,2.54,3.02,Potter Co.
Schuylkill Co.,"60,530",66.3,26.8,51.4,10.2,33.7,29.9,16.5,2.36,2.93,Schuylkill Co.
Snyder Co.,"13,654",73.1,32.1,62,7.4,26.9,22.4,10.3,2.58,3.02,Snyder Co.
Somerset Co.,"31,222",70.6,29.4,58.3,8.5,29.4,26.1,13.6,2.45,2.95,Somerset Co.
Sullivan Co.,"2,660",65.9,24.2,54.7,6.8,34.1,29.3,15.2,2.3,2.81,Sullivan Co.
Susquehanna Co.,"16,529",71.3,31.9,57.7,8.6,28.7,24.3,11.5,2.53,2.99,Susquehanna Co.
Tioga Co.,"15,925",70.3,30.4,57.8,8.6,29.7,24.4,11.3,2.48,2.93,Tioga Co.
Union Co.,"13,178",69.9,31.1,59.9,6.9,30.1,25.3,11.8,2.5,3,Union Co
Venango Co.,"22,747",70,30.4,55.8,9.9,30,26.2,12.5,2.45,2.93,Venango Co.
Warren Co.,"17,696",68.5,29.8,56.1,8.4,31.5,27.2,12.2,2.42,2.93,Warren Co.
Washington Co.,"81,130",69.1,28.4,55.2,10.3,30.9,27,13.2,2.44,2.96,Washington Co.
Wayne Co.,"18,350",70.5,30.3,57.2,8.9,29.5,25.2,12.2,2.5,2.98,Wayne Co.
Westmoreland Co.,"149,813",69.8,28.4,57,9.6,30.2,26.9,13.3,2.41,2.93,Westmoreland Co.
Wyoming Co.,"10,762",71.6,33.2,58.1,9.3,28.4,24.1,9.9,2.55,3.02,Wyoming Co.
York Co.,"148,219",71.2,32.5,58.3,9,28.8,23.3,9.2,2.52,2.98,York Co.
