GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1-person households,Margin of Error; Total: - 1-person households,Estimate; Total: - 2-person households,Margin of Error; Total: - 2-person households,Estimate; Total: - 3-person households,Margin of Error; Total: - 3-person households,Estimate; Total: - 4-person households,Margin of Error; Total: - 4-person households,Estimate; Total: - 5-person households,Margin of Error; Total: - 5-person households,Estimate; Total: - 6-person households,Margin of Error; Total: - 6-person households,Estimate; Total: - 7-or-more-person households,Margin of Error; Total: - 7-or-more-person households
0500000US42001,42001,"Adams County, Pennsylvania",63107,3396,29250,5849,68180,6995,95012,9750,86429,11067,90505,24421,88813,9420,120417,44242
0500000US42003,42003,"Allegheny County, Pennsylvania",58625,1400,30366,796,71123,1933,86063,6771,106857,7071,96998,14797,86212,8823,107836,60956
0500000US42005,42005,"Armstrong County, Pennsylvania",45949,4339,19516,3199,49678,6478,68967,12172,65750,13199,70455,56229,57614,65013,118633,24825
0500000US42007,42007,"Beaver County, Pennsylvania",54923,1953,25487,1833,66565,3958,80224,11227,86274,10452,88695,30756,73819,17673,155470,37559
0500000US42011,42011,"Berks County, Pennsylvania",61058,1432,28337,3419,66361,3216,87615,7555,85024,6498,77208,9403,80268,19558,65518,11518
0500000US42013,42013,"Blair County, Pennsylvania",45957,2207,24827,3778,52439,7270,73257,13367,57849,7209,56256,13343,75219,22016,109000,141883
0500000US42017,42017,"Bucks County, Pennsylvania",84749,3007,37587,3811,84453,4113,115204,6241,133810,8206,139783,15050,153293,45458,125263,53143
0500000US42019,42019,"Butler County, Pennsylvania",68934,2943,31389,3580,68750,3299,87821,10947,119795,9758,113295,16387,133518,31692,132560,81683
0500000US42021,42021,"Cambria County, Pennsylvania",46598,2609,22622,2301,51101,4097,68651,8214,82706,7721,71959,20357,80211,18161,50614,42917
0500000US42025,42025,"Carbon County, Pennsylvania",49647,6819,22555,3938,54975,10314,75402,12258,62794,18696,42083,55852,91926,50824,-,**
0500000US42027,42027,"Centre County, Pennsylvania",55895,3787,30490,4793,61258,7923,86290,19695,89461,7619,86989,21832,73867,39715,80613,19296
0500000US42029,42029,"Chester County, Pennsylvania",96656,3279,43909,5118,96665,4891,117706,7935,141146,16133,135825,16110,131769,11125,105203,21684
0500000US42033,42033,"Clearfield County, Pennsylvania",48581,3188,21567,2546,56491,4654,62025,5494,77913,11135,47658,28806,52483,66015,65391,90137
0500000US42037,42037,"Columbia County, Pennsylvania",51726,3449,26149,5143,55088,5415,79468,11418,74838,8070,68333,30918,64018,5880,64417,26149
0500000US42039,42039,"Crawford County, Pennsylvania",50657,4174,23049,2160,55449,4126,65952,12873,75614,7877,85870,32723,51994,8313,64881,9593
0500000US42041,42041,"Cumberland County, Pennsylvania",69301,3288,32413,5902,75597,5008,84559,3981,111733,12993,117982,16048,78750,38226,84412,83118
0500000US42043,42043,"Dauphin County, Pennsylvania",61622,2044,34890,3686,70828,4208,81048,8239,89634,8519,77321,11185,91549,28750,115500,55046
0500000US42045,42045,"Delaware County, Pennsylvania",73854,1771,36173,1860,76972,4264,103081,5985,117627,8919,117036,11602,110382,25650,109917,73082
0500000US42049,42049,"Erie County, Pennsylvania",50614,2082,24017,2078,59967,4584,68398,8372,86944,5840,79745,24410,80217,20295,54877,32878
