,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
0,1,10,50,ELA,Did Not Yet Meet,3,1,2
1,1,10,50,ELA,Partially Met,2,4,5
2,1,10,50,ELA,Approached,12,4,8
3,1,10,50,ELA,Met,15,12,21
4,1,10,50,ELA,Exceeded,3,5,4
5,1,10,50,Math,Did Not Yet Meet,3,3,1
6,1,10,50,Math,Partially Met,6,6,4
7,1,10,50,Math,Approached,16,16,11
8,1,10,50,Math,Met,9,12,12
9,1,10,50,Math,Exceeded,0,1,1
10,1,10,60,ELA,Did Not Yet Meet,2,5,8
11,1,10,60,ELA,Partially Met,7,7,3
12,1,10,60,ELA,Approached,8,3,8
13,1,10,60,ELA,Met,31,10,5
14,1,10,60,ELA,Exceeded,2,0,0
15,1,10,60,Math,Did Not Yet Meet,0,2,2
16,1,10,60,Math,Partially Met,7,8,5
17,1,10,60,Math,Approached,8,12,15
18,1,10,60,Math,Met,14,10,14
19,1,10,60,Math,Exceeded,3,0,0
20,1,110,30,ELA,Did Not Yet Meet,3,6,5
21,1,110,30,ELA,Partially Met,4,8,10
22,1,110,30,ELA,Approached,8,11,14
23,1,110,30,ELA,Met,6,10,12
24,1,110,30,ELA,Exceeded,2,1,1
25,1,110,30,Math,Did Not Yet Meet,2,3,4
26,1,110,30,Math,Partially Met,10,7,10
27,1,110,30,Math,Approached,7,12,19
28,1,110,30,Math,Met,7,6,11
29,1,110,30,Math,Exceeded,2,0,1
30,1,110,50,ELA,Did Not Yet Meet,0,1,2
31,1,110,50,ELA,Partially Met,2,4,12
32,1,110,50,ELA,Approached,6,9,17
33,1,110,50,ELA,Met,9,11,20
34,1,110,50,ELA,Exceeded,2,2,2
35,1,110,50,Math,Did Not Yet Meet,0,0,3
36,1,110,50,Math,Partially Met,8,8,14
37,1,110,50,Math,Approached,11,9,16
38,1,110,50,Math,Met,12,9,9
39,1,110,50,Math,Exceeded,1,1,1
40,1,110,60,ELA,Did Not Yet Meet,5,4,5
41,1,110,60,ELA,Partially Met,8,8,15
42,1,110,60,ELA,Approached,7,7,16
43,1,110,60,ELA,Met,7,7,9
44,1,110,60,ELA,Exceeded,0,2,0
45,1,110,60,Math,Did Not Yet Meet,4,4,5
46,1,110,60,Math,Partially Met,9,9,14
47,1,110,60,Math,Approached,13,8,13
48,1,110,60,Math,Met,9,6,7
49,1,110,60,Math,Exceeded,2,1,0
50,1,110,70,ELA,Did Not Yet Meet,11,9,10
51,1,110,70,ELA,Partially Met,16,10,7
52,1,110,70,ELA,Approached,14,8,5
53,1,110,70,ELA,Met,5,4,2
54,1,110,70,Math,Did Not Yet Meet,12,5,12
55,1,110,70,Math,Partially Met,18,12,10
56,1,110,70,Math,Approached,12,4,9
57,1,110,70,Math,Met,4,0,1
58,1,110,80,ELA,Did Not Yet Meet,9,9,5
59,1,110,80,ELA,Partially Met,10,9,10
60,1,110,80,ELA,Approached,14,11,6
61,1,110,80,ELA,Met,5,7,5
62,1,110,80,Math,Did Not Yet Meet,6,6,4
63,1,110,80,Math,Partially Met,17,8,7
64,1,110,80,Math,Approached,22,8,4
65,1,110,80,Math,Met,10,5,2
66,1,110,80,Math,Exceeded,1,1,0
67,1,110,100,ELA,Did Not Yet Meet,8,8,8
68,1,110,100,ELA,Partially Met,7,8,18
69,1,110,100,ELA,Approached,7,11,9
70,1,110,100,ELA,Met,5,5,4
71,1,110,100,ELA,Exceeded,1,0,0
72,1,110,100,Math,Did Not Yet Meet,11,5,6
73,1,110,100,Math,Partially Met,17,13,11
74,1,110,100,Math,Approached,15,8,5
75,1,110,100,Math,Met,2,2,4
76,1,110,100,Math,Exceeded,1,1,0
77,1,110,120,ELA,Did Not Yet Meet,2,3,6
78,1,110,120,ELA,Partially Met,5,5,9
79,1,110,120,ELA,Approached,8,13,16
80,1,110,120,ELA,Met,7,12,10
81,1,110,120,ELA,Exceeded,1,3,2
82,1,110,120,Math,Did Not Yet Meet,2,2,2
83,1,110,120,Math,Partially Met,13,7,13
84,1,110,120,Math,Approached,8,7,13
85,1,110,120,Math,Met,6,7,15
86,1,110,120,Math,Exceeded,2,1,1
87,1,110,140,ELA,Did Not Yet Meet,9,4,6
88,1,110,140,ELA,Partially Met,14,9,4
89,1,110,140,ELA,Approached,17,6,6
90,1,110,140,ELA,Met,11,6,6
91,1,110,140,ELA,Exceeded,0,0,0
92,1,110,140,Math,Did Not Yet Meet,7,5,6
93,1,110,140,Math,Partially Met,14,9,12
94,1,110,140,Math,Approached,15,7,11
95,1,110,140,Math,Met,7,4,2
96,1,110,140,Math,Exceeded,1,0,0
97,1,110,300,ELA,Did Not Yet Meet,4,6,6
98,1,110,300,ELA,Partially Met,3,10,9
99,1,110,300,ELA,Approached,6,16,7
100,1,110,300,ELA,Met,10,14,6
101,1,110,300,ELA,Exceeded,1,1,0
102,1,110,300,Math,Did Not Yet Meet,1,1,1
103,1,110,300,Math,Partially Met,14,6,7
104,1,110,300,Math,Approached,17,7,7
105,1,110,300,Math,Met,22,6,6
106,1,110,300,Math,Exceeded,0,3,0
107,1,570,10,ELA,Did Not Yet Meet,8,4,2
108,1,570,10,ELA,Partially Met,11,13,8
109,1,570,10,ELA,Approached,8,9,9
110,1,570,10,ELA,Met,9,11,6
111,1,570,10,ELA,Exceeded,2,0,0
112,1,570,10,Math,Did Not Yet Meet,4,0,4
113,1,570,10,Math,Partially Met,6,2,9
114,1,570,10,Math,Approached,23,9,2
115,1,570,10,Math,Met,25,8,6
116,1,570,10,Math,Exceeded,0,4,0
117,1,570,30,ELA,Did Not Yet Meet,3,2,5
118,1,570,30,ELA,Partially Met,6,5,5
119,1,570,30,ELA,Approached,10,12,9
120,1,570,30,ELA,Met,16,13,12
121,1,570,30,ELA,Exceeded,1,2,1
122,1,570,30,Math,Did Not Yet Meet,6,3,3
123,1,570,30,Math,Partially Met,6,6,14
124,1,570,30,Math,Approached,15,11,14
125,1,570,30,Math,Met,9,3,9
126,1,590,30,ELA,Did Not Yet Meet,3,7,10
127,1,590,30,ELA,Partially Met,6,5,13
128,1,590,30,ELA,Approached,6,10,10
129,1,590,30,ELA,Met,5,8,15
130,1,590,30,ELA,Exceeded,1,1,2
131,1,590,30,Math,Did Not Yet Meet,0,2,2
132,1,590,30,Math,Partially Met,6,7,10
133,1,590,30,Math,Approached,6,9,17
134,1,590,30,Math,Met,6,12,17
135,1,590,30,Math,Exceeded,1,2,0
136,1,590,300,ELA,Did Not Yet Meet,9,7,4
137,1,590,300,ELA,Partially Met,11,9,2
138,1,590,300,ELA,Approached,19,12,6
139,1,590,300,ELA,Met,11,6,4
140,1,590,300,ELA,Exceeded,1,0,0
141,1,590,300,Math,Did Not Yet Meet,3,2,5
142,1,590,300,Math,Partially Met,17,9,2
